============================================================
PAGE 6 — TABLE 1  (accuracy: 98.29, flavor: lattice)
============================================================
|         | 1                          | 2                                                                                                                                                                                                                                        | 3      | 4                                           | 5        | 6                                             | 7                                   | 8                          | 9                                                                        | 10        | 11                          | 12                                                  | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                                                                                                                         |
| ------- | -------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------ | ------------------------------------------- | -------- | --------------------------------------------- | ----------------------------------- | -------------------------- | ------------------------------------------------------------------------ | --------- | --------------------------- | --------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. | Name of Substation         | Substation Coordinates                                                                                                                                                                                                                   | Region | Transformation Capacity (MVA)               |          |                                               | RE Capacity Granted  (Connectivity) |                            |                                                                          |           |                             |                                                     | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                                                                                                                                                                                                                                                    |
|         |                            |                                                                                                                                                                                                                                          |        | Planned                                     | Existing | Under  Implementation                         | 220kV                               |                            |                                                                          | 400kV     |                             |                                                     | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                           | Bay No.   | Connectivity  Quantum  (MW) | Name of Entity                                      | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 6                                   | 200                        | Adyant Power Pvt. Ltd. (200)                                             | 6         | 900                         | NTPC Renewable Energy Ltd.  (300+300+300),          | 6                                                                                                                                              | 100                              |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 7                                   | 350                        | ACME Cleantech Solutions Pvt. Ltd.(150) + ACME Solar Holdings Ltd. (200) | 7         |                             |                                                     | 7                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 8                                   | 300                        | Bhojraj Developers Pvt. Ltd.                                             | 8         |                             |                                                     | 8                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 9                                   | 300                        | Waaree Renewable Technologies Ltd.                                       | 9         |                             |                                                     | 9                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | Section-C                           |                            |                                                                          |           |                             |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 10                                  | 350                        | JSP Green Pvt. Ltd. (JSPGPL)                                             | 10        |                             |                                                     | 10                                                                                                                                             | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 11                                  | 250                        | TEQ Green Power XXII Pvt. Ltd. (TGP XXII PL)                             | 11        |                             |                                                     | 11                                                                                                                                             | 50                               |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               |                                     | 2998                       |                                                                          |           | 3524                        |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
| 29      | Ishanagar S/s              | Tentative:  24° 51' 49.18" N 79° 21' 47.30" E 24° 51' 58.69" N 79° 22' 14.95" E 24° 51' 42.61" N 79° 22' 25.84" E 24° 51' 32.58" N 79° 21' 57.47" E                                                                                      | WR     |                                             |          | 2x1500MVA,  765/400kV &  2x500MVA,  400/220kV |                                     |                            |                                                                          | 1         | 650                         | Avaada Energy Pvt. Ltd.(350MW+300MW)                |                                                                                                                                                |                                  |         |                                  | 12                                                                    | 10    | Under implementation by Ishanagar Power  Transmission Ltd. (a consortium of M/s IndiGrid 1  Ltd. & IndiGrid 1 Ltd.) as WRES-XXXIII: Part-C SCOD: 09.02.2026                                                                                                                |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               |                                     | 0                          |                                                                          |           | 650                         |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
| 30      | Jamnagar (GIS) PS          | Tentative:  22°17'18.42"N 70° 0'57.17"E 22°17'4.36"N  70° 0'45.01"E 22°16'53.69"N 70° 1'4.96"E 22°17'5.91"N 70° 1'16.39"E                                                                                                                | WR     | 3x500MVA,  400/220kV                        |          | 2x1500MVA,  765/400kV;                        | Section-A                           |                            |                                                                          |           |                             |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 1                                   | 297                        | MFA Renewables Pvt. Ltd. (MFARPL)                                        |           |                             |                                                     | 1                                                                                                                                              |                                  |         |                                  | 11                                                                    | 8     | Under implementation by Jamnagar Transmission  Ltd. (a subsidiary of Adani Energy Soultions Ltd.)  as "Network Expansion schme in Gujarat for  drawl of abotu 3.6GW load udner Phase-I in  Jamnagar area". SCOD: 14/10/2026. 2x500MVA, 400/220kV are under approval stage. |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 2                                   | 254                        | Opwind Energy Pvt. Ltd. (OEPL)                                           |           |                             |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 3                                   | 100                        | Kadodiya Wind Energy Private Limited (KWEPL)                             |           |                             |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               | 4                                   | 349                        | Satpura Renewable Pvt. Ltd.                                              |           |                             |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
|         |                            |                                                                                                                                                                                                                                          |        |                                             |          |                                               |                                     | 1000                       |                                                                          |           | 0                           |                                                     |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                                                                                                                            |
