============================================================
PAGE 8 — TABLE 1  (accuracy: 98.27, flavor: lattice)
============================================================
|            | 1                                          | 2                                            | 3         | 4                                                                           | 5                                  | 6                       | 7                                   | 8                          | 9                                                  | 10      | 11                          | 12                                       | 13                                                                                                                                               | 14                               | 15      | 16                               | 17                                                                        | 18    | 19                                                                                                                                                                                                                                                                                          |
| ---------- | ------------------------------------------ | -------------------------------------------- | --------- | --------------------------------------------------------------------------- | ---------------------------------- | ----------------------- | ----------------------------------- | -------------------------- | -------------------------------------------------- | ------- | --------------------------- | ---------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------- | ------- | -------------------------------- | ------------------------------------------------------------------------- | ----- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. 37 | Name of Substation 400/220 kV Pavagada S/s | Substation Coordinates 14.318579N 77.385479E | Region SR | Transformation Capacity (MVA) 6x500 MVA, 400/220  4x500 MVA,  kV 400/220 kV |                                    |                         | RE Capacity Granted  (Connectivity) |                            |                                                    |         |                             |                                          | Margin  on Existing / Under Implementation Bays (for  0 power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  1 0 Additional Line Bays (No.) for  Injection |       | Remarks *Agreed for grant.                                                                                                                                                                                                                                                                  |
|            |                                            |                                              |           | Planned                                                                     | Existing                           | Under  Implementation   | 220kV                               |                            |                                                    | 400kV   |                             |                                          | 220kV*                                                                                                                                           |                                  | 400kV*  |                                  | 220kV                                                                     | 400kV |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                     | Bay No. | Connectivity  Quantum  (MW) | Name of Entity                           | Bay No.                                                                                                                                          | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         | 207                                 | 198                        | Tata Power Renewable Energy Ltd.                   |         |                             |                                          | 207                                                                                                                                              | 0                                |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 93.6                       | Tata Power Renewable Energy Ltd.                   |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 82.5                       | Tata Power Renewable Energy Ltd.                   |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         | 208                                 | 300                        | JSP Green Wind 1  Pvt. Ltd.                        |         |                             |                                          | 208                                                                                                                                              | 0                                |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 50                         | JSP Green Wind 1 Pvt. Ltd.*                        |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         | 212                                 | 93                         | Nannai Solar Park Pvt. Ltd.                        |         |                             |                                          | 212                                                                                                                                              | 0                                |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 57                         | Nannai Solar Park Private Ltd. *                   |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 100                        | Navaladi Wind Park Pvt. Ltd.*                      |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         | 203                                 | 100                        | First Energy Pvt. Ltd.                             |         |                             |                                          | 203                                                                                                                                              |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 80                         | Amplus Sun Beat Pvt. Ltd. *                        |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         |                                     | 65                         | Amplus Theta Energy Pvt. Ltd. *                    |         |                             |                                          |                                                                                                                                                  |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
|            |                                            |                                              |           |                                                                             |                                    |                         | 7                                   | 350                        | Subramaniy apuram  Wind Park Pvt. Ltd*             |         |                             |                                          | 1                                                                                                                                                |                                  |         |                                  |                                                                           |       |                                                                                                                                                                                                                                                                                             |
