============================================================
PAGE 4 — TABLE 1  (accuracy: 98.08, flavor: lattice)
============================================================
|         | 1                                           | 2                                | 3      | 4                             | 5                                                                      | 6                     | 7                                   | 8                          | 9                                                                         | 10      | 11                          | 12                                                                                                                                                                                                            | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19      |
| ------- | ------------------------------------------- | -------------------------------- | ------ | ----------------------------- | ---------------------------------------------------------------------- | --------------------- | ----------------------------------- | -------------------------- | ------------------------------------------------------------------------- | ------- | --------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ------- |
| Sl. No. | Name of Substation                          | Substation Coordinates           | Region | Transformation Capacity (MVA) |                                                                        |                       | RE Capacity Granted  (Connectivity) |                            |                                                                           |         |                             |                                                                                                                                                                                                               | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks |
|         |                                             |                                  |        | Planned                       | Existing                                                               | Under  Implementation | 220kV                               |                            |                                                                           | 400kV   |                             |                                                                                                                                                                                                               | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |         |
|         |                                             |                                  |        |                               |                                                                        |                       | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                            | Bay No. | Connectivity  Quantum  (MW) | Name of Entity                                                                                                                                                                                                | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       | 201                                 | 298.75                     | Anupavan Renewables Pvt. Ltd. (148.75); Viento Renewables Pvt. Ltd. (150) |         |                             |                                                                                                                                                                                                               | 201                                                                                                                                            | 1.25                             |         |                                  |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       | 210                                 | 150                        | Serentica Renewables India Pvt. Ltd.                                      |         |                             |                                                                                                                                                                                                               | 210                                                                                                                                            | 150                              |         |                                  |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       | 213                                 | 300                        | Avaada Energy Pvt. Ltd. (50+250)                                          |         |                             |                                                                                                                                                                                                               | 213                                                                                                                                            | 0                                |         |                                  |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       | 212                                 | 350                        | Serentica Renewables India 4 Pvt. Ltd. (210+140)                          |         |                             |                                                                                                                                                                                                               | 212                                                                                                                                            | 0                                |         |                                  |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       |                                     | 1899.05                    |                                                                           |         | 1300                        |                                                                                                                                                                                                               |                                                                                                                                                |                                  |         |                                  |                                                                       |       |         |
| 19      | Parli (PG) S/s (existing)                   | 76.42818611E,18.74140278N        | WR     |                               | 2x500MVA,  400/220kV                                                   |                       | 211                                 | 300                        | Renew Tej Shakti Pvt. Ltd. (RTSPL) (180+69+51)                            |         |                             |                                                                                                                                                                                                               | 211                                                                                                                                            | 0                                |         |                                  |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       |                                     | 300                        |                                                                           |         | 0                           |                                                                                                                                                                                                               |                                                                                                                                                |                                  |         |                                  |                                                                       |       |         |
| 20      | Parli (New)                                 | 76°21'31.75"E, 18°36'29.92"N     | WR     |                               | 2x1500 MVA,  765/400 kV;                                               |                       |                                     |                            |                                                                           | 409     | 1000                        | Renew Pawan Shakti Pvt. Ltd. (277+23) +  Tata Power Renewable Energy Ltd. (180+220), Renew Solar  Power Pvt. Ltd.(200+100)                                                                                    |                                                                                                                                                |                                  | 1       | -300                             |                                                                       |       |         |
|         |                                             |                                  |        |                               |                                                                        |                       |                                     | 0                          |                                                                           |         | 1000                        |                                                                                                                                                                                                               |                                                                                                                                                |                                  |         |                                  |                                                                       |       |         |
| 21      | 765/400/220kV Solapur (PG)  (existing S/s)# | 17˚ 36ʼ 31.21ˮ N, 76˚ 2ʼ 59.98ˮE | WR     |                               | 2x1500 MVA,  765/400 kV;  2X315 MVA,  400/220 kV; 1X500 MVA 400/220 KV |                       |                                     | 0                          |                                                                           | 433     | 2000                        | Renew Green Energy Solutions Pvt. Ltd. (100+ 32+ 76+ 50+  100+ 70+ 48+ 73+ 51); Serentica Renewables India Pvt. Ltd. (300+100); JSW Renew Energy Thirteen Ltd. (300); Waaree Forever Energies Pvt. Ltd. (700) |                                                                                                                                                |                                  | 433     | 0                                |                                                                       |       |         |
