| Sl. No.                                                                                                       | Name of Substation                    | Substation Coordinates                                                                                                              | Region | Transformation Capacity (MVA) |                                                    |                                                                                            | RE Capacity Granted  (Connectivity)                                                     |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks            |
|                                                                                                               |                                       |                                                                                                                                     |        | Planned                       | Existing                                           | Under  Implementation                                                                      | 220kV                                                                                   |        |                                                                                                                                                                                                                                                                                                         | 400kV      |                             |                                                                                                                                                                                                           | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | Bay No.  Connectivity  Name of Entity Quantum (MW)                                      |        |                                                                                                                                                                                                                                                                                                         | Bay No.    | Connectivity  Quantum  (MW) | Name of Entity                                                                                                                                                                                            | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |                    |
| 1                                                                                                             | 400/220kV Jam Khambhaliya  (GIS) PS # | 22°08'41"N 69°40'38"E                                                                                                               | WR     |                               | 400/220kV,  4X500MVA,                              | 400/220kV,  5X500MVA (5th -  9th)                                                          | Section -A                                                                              |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 219 220                                                                                 | 555    | Adani Wind Energy Kutchh one Ltd. (175); Adani Wind Energy Kutchh Three Ltd. (250); Adani Wind Energy Kutchh Five Ltd. (130);                                                                                                                                                                           |            |                             |                                                                                                                                                                                                           | 219                                                                                                                                            | 45                               |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            |                                                                                         |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           | 220                                                                                                                                            |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 217 218                                                                                 | 600    | Indianoil NTPC Green Energy Pvt. Ltd.                                                                                                                                                                                                                                                                   |            |                             |                                                                                                                                                                                                           |                                                                                                                                                | 0                                |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            |                                                                                         |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | Section-C                                                                               |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 230 300 Alfanar Energy Pvt Ltd                                                          |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           | 230                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 231 300 Netra Wind Pvt Ltd                                                              |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           | 231                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 232 243.6 Avikiran Solar India Pvt. Ltd.(168) + Hexa Climate Solutions Pvt. Ltd. (75.6) |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           | 232                                                                                                                                            | 56.4                             |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 234 300 Renew Wind Energy (AP2) Pvt. Ltd                                                |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           | 234                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | Section-D                                                                               |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 1                                                                                       | 99     | Purvah Green Power Pvt. Ltd. (99)                                                                                                                                                                                                                                                                       |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            |                                                                                         |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            |                                                                                         |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            |                                                                                         |        |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            |                                                                                         | 4423.6 |                                                                                                                                                                                                                                                                                                         |            |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                    |
| 3                                                                                                             | 765/400/220kV Bhuj-II PS#             | Boundary Coordinates 23°22'29.92"N 69° 8'32.39"E 23°22'26.60"N 69° 8'55.06"E 23°22'6.44"N 69° 8'43.33"E 23°22'15.91"N 69° 8'24.01"E | WR     |                               | 2x1500 MVA,  765/400 kV; 4X500 MVA,     400/220 KV | 2x1500 MVA,  765/400 kV (3rd &  4th ); 5X500 MVA,  400/220 KV (5th,  6th ,7th, 8th &  9th) | Section -A                                                                              |        |                                                                                                                                                                                                                                                                                                         | Section -A |                             |                                                                                                                                                                                                           |                                                                                                                                                |                                  |         |                                  | 2                                                                     | 6     |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 201                                                                                     | 300    | Sitac Kabini Renewables Pvt Ltd                                                                                                                                                                                                                                                                         | 1          | 900                         | Adani Green Energy Thirty One Ltd.(300) Adani Wind Energy Kutchh One Ltd.(300+300)                                                                                                                        | 207                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 207                                                                                     | 238.5  | Srijan Energy Systems Pvt. Ltd. (148.5) +CGE Reneables Pvt. Ltd. (90)                                                                                                                                                                                                                                   | 2          | 900                         | Adani Wind Energy Kutchh One Ltd.(300+300)  Ghanikhedi  Wind Energy Pvt. Ltd.(100) Laxmansar Wind Energy Pvt. Ltd.(100)  Lakhapar Wind Energy Private Limited (50) Amiya Wind Energy Private Limited.(50) | 207                                                                                                                                            | 61.5                             |         |                                  |                                                                       |       |                    |
|                                                                                                               |                                       |                                                                                                                                     |        |                               |                                                    |                                                                                            | 202                                                                                     | 300    | Adani Green Energy Ltd                                                                                                                                                                                                                                                                                  |            |                             |                                                                                                                                                                                                           | 202                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                    |
